SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETA,Y,,2,,,,0,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETB,N,11,11,100.0,Y,,7,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETH,Y,,7,,Y,,5,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETI,Y,,1,,,,0,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETO,Y,,6,,Y,,5,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETP,,,0,,,,0,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,ETW,N,226,245,92.2,N,237,254,93.3
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,HOM,Y,,2,,Y,,3,
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,LEN,Y,,270,,N,250,270,92.6
20182019,071,LOGAN,351,Logan County,140,Logan County High School,351140,071351140,210354001458,GRREC,902,LEP,Y,,2,,Y,,1,
